,pred_direction_x,pred_direction_y,label_direction_x,label_direction_y
59,-0.612386167049408,-0.7854526042938232,-0.63128978386091,-0.7755470384140769
60,-0.621941089630127,-0.7713522911071777,-0.5990555379072965,-0.8007074762374832
61,-0.6451486945152283,-0.751311719417572,-0.5795956311215673,-0.8149042301919852
62,-0.650382936000824,-0.7528939247131348,-0.549960123173522,-0.8351909140543643
63,-0.6578386425971985,-0.7435954213142395,-0.5383444678105296,-0.8427248862931471
64,-0.66688472032547,-0.7343412041664124,-0.53389865140494,-0.8455484788159614
65,-0.6978157162666321,-0.7145825028419495,-0.529565526716727,-0.8482690333339038
66,-0.6907495856285095,-0.708987832069397,-0.5324348124056981,-0.8464710098630129
67,-0.6992418169975281,-0.6997400522232056,-0.5501697818843512,-0.8350528193481688
68,-0.687796413898468,-0.720134973526001,-0.5484683727860141,-0.8361713006636031
69,-0.6992107629776001,-0.7018263339996338,-0.5493375946985319,-0.8356005068517081
70,-0.7007164359092712,-0.7086705565452576,-0.5167164912403246,-0.8561565672704307
71,-0.6828375458717346,-0.7197571396827698,-0.5158177519528893,-0.8566983405903549
72,-0.7018844485282898,-0.7054545879364014,-0.5150671453785536,-0.8571498327314705
73,-0.6839009523391724,-0.7142136096954346,-0.5067310426107179,-0.8621041993022971
74,-0.7296024560928345,-0.6838486790657043,-0.5234563775438801,-0.8520524753843738
75,-0.6900580525398254,-0.7008705735206604,-0.5339813247713704,-0.8454962713078114
76,-0.7156448364257812,-0.6856022477149963,-0.5508840905354748,-0.8345817627979315
77,-0.6898282766342163,-0.7080286145210266,-0.5661876874090838,-0.8242763508838244
78,-0.7218552827835083,-0.6784288883209229,-0.5770110283814482,-0.8167363547229812
79,-0.7064205408096313,-0.6783095598220825,-0.5884550415767426,-0.8085299401029712
80,-0.7485081553459167,-0.6460762619972229,-0.59345816136164,-0.8048648400279774
81,-0.7348202466964722,-0.6642791032791138,-0.615055116421923,-0.7884841176353615
82,-0.7592666745185852,-0.6317372918128967,-0.6410948669183811,-0.7674616417847234
83,-0.7644357681274414,-0.6287865042686462,-0.6734620538480866,-0.7392217948807496
84,-0.7569493055343628,-0.6199800968170166,-0.6803692043483245,-0.7328695284799525
85,-0.7750937938690186,-0.6192553639411926,-0.676615905960055,-0.7363361432130395
86,-0.7556416988372803,-0.6408972144126892,-0.6523543918527435,-0.7579140765485474
87,-0.7289034724235535,-0.66045081615448,-0.6219204127419851,-0.7830804557737595
88,-0.7122055292129517,-0.6951543688774109,-0.6127374277276042,-0.7902865585733817
89,-0.752085268497467,-0.646843433380127,-0.5869949778127633,-0.8095905730816
90,-0.3215101659297943,-0.9258396625518799,-0.5595272722362057,-0.8288119398415487
91,-0.3553296625614166,-0.9322943091392517,-0.5407487375122262,-0.841184167040092
92,-0.34569236636161804,-0.9436967968940735,-0.5255186050198379,-0.8507821082850788
93,-0.3635561168193817,-0.9283364415168762,-0.5149039048716585,-0.8572479039040679
94,-0.34224095940589905,-0.9306679368019104,-0.4968532101231429,-0.8678345969079178
95,-0.3612203001976013,-0.8989806771278381,-0.4920602150733012,-0.8705611665713194
96,-0.32271963357925415,-0.9367022514343262,-0.4740659197125145,-0.8804893547153921
97,-0.34859421849250793,-0.9258924722671509,-0.4619195582175308,-0.8869218239146679
98,-0.3470996022224426,-0.9309375882148743,-0.4419149180542397,-0.897056968760131
99,-0.3410637080669403,-0.9317705631256104,-0.4395879347455489,-0.8981995589100136
100,-0.3463391661643982,-0.9408503174781799,-0.3945875690141595,-0.9188583407574292
101,-0.32854220271110535,-0.9376797676086426,-0.3892809133011139,-0.9211190859706744
102,-0.33073899149894714,-0.9381083250045776,-0.4000817353230587,-0.9164794624326776
103,-0.3351404368877411,-0.933932900428772,-0.4280198925244789,-0.9037693132671264
104,-0.33492499589920044,-0.9255070686340332,-0.4312572279085568,-0.9022290193607314
105,-0.36203545331954956,-0.9328454732894897,-0.4486353588917542,-0.8937148956753864
106,-0.3420931100845337,-0.9317705631256104,-0.4448822424512793,-0.8955890744931635
107,-0.34992045164108276,-0.9307087659835815,-0.4626471488182846,-0.8865425064204829
108,-0.3421443700790405,-0.9362190961837769,-0.4915722399190844,-0.8708368004057558
109,-0.32139456272125244,-0.930529773235321,-0.503791626699536,-0.8638252119887654
110,-0.28961119055747986,-0.9626893997192383,-0.5092286884200802,-0.8606312467543604
111,-0.3293391466140747,-0.9352651238441467,-0.5209020530862192,-0.8536164543227607
112,-0.3022955060005188,-0.908467710018158,-0.511512883388247,-0.8592756077812529
113,-0.3245801627635956,-0.939024806022644,-0.5102164073318921,-0.8600460555629197
114,-0.3176104724407196,-0.9397173523902893,-0.5186033072589583,-0.8550149763016263
115,-0.30878356099128723,-0.9350924491882324,-0.5166201090570636,-0.8562147294445872
116,-0.35480836033821106,-0.922601044178009,-0.5356933637347985,-0.8444125887565255
117,-0.3291410505771637,-0.9357592463493347,-0.5207322409451333,-0.853720055545294
118,-0.2848339378833771,-0.9583765864372253,-0.5322046018034223,-0.8466157698857615
119,-0.33413124084472656,-0.9254458546638489,-0.5518429994400558,-0.8339480223425214
120,-0.3622126579284668,-0.9246866703033447,-0.5534830632534643,-0.8328604317000308
121,-0.36263296008110046,-0.925940215587616,-0.5464223679309139,-0.8375097586445026
122,-0.3558705449104309,-0.9289361238479614,-0.5305876265725308,-0.8476300906221585
123,-0.3657415509223938,-0.9240037798881531,-0.5141968817689296,-0.8576721790865723
124,-0.3724302053451538,-0.9218836426734924,-0.5081317610724003,-0.8612793468959191
