,pred_vel,pred_vel_x,pred_vel_y,label_vel,label_vel_x,label_vel_y
5210,75.16571044921875,59.04475402832031,32.365257263183594,71.4524703759113,69.29509587622982,-0.08731049701618786
5211,75.43437957763672,58.83753204345703,32.604637145996094,70.53671207434802,68.23484224554024,-2.533718799813831
5212,75.70106506347656,58.681854248046875,32.82831954956055,70.34959702022206,67.83518721504409,-5.003170191163088
5213,75.98914337158203,58.49646759033203,32.818511962890625,70.88551176190964,68.08414113382644,-7.56974821280442
5214,76.14799499511719,58.31633377075195,32.63724136352539,71.30281094033076,68.17252647097614,-9.93073011873384
5215,76.29556274414062,58.18168640136719,32.633174896240234,71.6140135308381,68.10299478660767,-12.156945366129259
5216,76.59766387939453,58.025142669677734,32.369571685791016,72.26423945168249,68.36972085250814,-14.147334227530582
5217,76.84828186035156,57.90342712402344,32.106563568115234,73.27299548048924,68.98070645065457,-15.961608368779817
5218,77.11573028564453,57.73596954345703,31.60482406616211,74.67054429812259,69.95428114899136,-17.654196014114476
5219,77.33470916748047,57.492000579833984,31.049684524536133,75.78967414676531,70.7030697270131,-18.904419388916605
5220,99.29578399658203,74.62291717529297,52.6900634765625,76.66395892187664,71.2495358420605,-19.749785194430274
5221,100.05035400390625,74.96145629882812,53.20851516723633,77.05874606808524,71.41461710311,-20.01272126160316
5222,100.77967071533203,75.291015625,53.68780517578125,76.98587919977729,71.20326594799316,-19.701115672450427
5223,101.48328399658203,75.59215545654297,54.20127487182617,76.4431723109036,70.60914184205645,-18.8056202592975
5224,102.15524291992188,75.83719635009766,54.73859405517578,75.26981655355245,69.48382147192412,-17.237460925753474
5225,102.73373413085938,75.98104095458984,55.239112854003906,73.4306112550033,67.79354522649221,-14.949592891812035
5226,103.36539459228516,76.11614990234375,55.57370376586914,72.06253300857354,66.627205855794,-12.262040961661642
5227,104.00354766845703,76.25851440429688,55.861328125,71.12453946687029,65.94981317870855,-9.094178577397793
5228,104.52094268798828,76.39295196533203,56.126800537109375,70.59880154233872,65.57597958280782,-5.801539946695646
5229,105.08438110351562,76.4623794555664,56.491546630859375,70.46954709724301,65.49449006021479,-2.2853459106341254
5230,105.57069396972656,76.55230712890625,56.70634841918945,70.73289849823021,65.70289992525166,1.5598893518686123
5231,106.0510482788086,76.62297058105469,56.93852996826172,71.24940941943998,66.01767563791068,5.328102826934759
5232,106.47322082519531,76.64972686767578,57.02381134033203,72.03457518850861,66.44826046957166,9.132340918816274
5233,106.90914154052734,76.68250274658203,56.8900260925293,72.98823808759414,67.01634357945139,12.485519947413366
5234,106.99808502197266,76.68717193603516,56.514381408691406,74.13900800366913,67.73896746084628,15.488235283583954
5235,107.10295867919922,76.739013671875,56.54750442504883,75.52140803421585,68.63781083019818,18.23056838741314
5236,107.24335479736328,76.65434265136719,56.181739807128906,76.78153178080527,69.41068194816413,20.556769150462262
5237,107.2814712524414,76.57568359375,55.83090591430664,77.95718295583501,70.08076694828313,22.53662359562281
5238,107.32211303710938,76.40705108642578,55.137821197509766,79.39225469777952,71.04924628926979,24.158677363699756
5239,107.25709533691406,76.15321350097656,54.342132568359375,81.1297991588971,72.34517435135366,25.471592067735415
5240,118.04438781738281,45.361534118652344,97.43247985839844,82.2239166367149,73.19335229068773,25.931425843101607
5241,117.97808837890625,45.474212646484375,98.037841796875,82.70743065556752,73.61922544545197,25.551973703059346
